,dataset,participant,wrong,score
0,camerarot_diff1,3,1,3.0
1,camerarot_diff1,4,1,2.0
2,camerarot_diff1,5,0,0.0
3,camerarot_diff1,6,1,5.0
4,camerarot_diff1,7,2,6.0
5,camerarot_diff1,8,1,8.0
6,camerarot_diff1,9,1,1.0
7,camerarot_diff1,10,0,0.0
8,camerarot_diff1,11,0,0.0
9,camerarot_diff1,12,0,0.0
10,camerarot_diff1,13,1,35.0
11,camerarot_diff1,14,4,15.0
12,camerarot_diff5,3,0,0.0
13,camerarot_diff5,4,0,0.0
14,camerarot_diff5,5,0,0.0
15,camerarot_diff5,6,1,1.0
16,camerarot_diff5,7,0,0.0
17,camerarot_diff5,8,0,0.0
18,camerarot_diff5,9,0,0.0
19,camerarot_diff5,10,2,6.0
20,camerarot_diff5,11,1,5.0
21,camerarot_diff5,12,0,0.0
22,camerarot_diff5,13,2,6.0
23,camerarot_diff5,14,1,1.0
24,random_board_images_big_diff1,3,1,1.0
25,random_board_images_big_diff1,4,3,35.0
26,random_board_images_big_diff1,5,1,2.0
27,random_board_images_big_diff1,6,6,35.0
28,random_board_images_big_diff1,7,0,0.0
29,random_board_images_big_diff1,8,1,35.0
30,random_board_images_big_diff1,9,3,35.0
31,random_board_images_big_diff1,10,3,17.0
32,random_board_images_big_diff1,11,3,35.0
33,random_board_images_big_diff1,12,1,9.0
34,random_board_images_big_diff1,13,6,35.0
35,random_board_images_big_diff1,14,5,17.0
36,random_board_images_big_diff5,3,2,19.0
37,random_board_images_big_diff5,4,1,3.0
38,random_board_images_big_diff5,5,1,1.0
39,random_board_images_big_diff5,6,3,13.0
40,random_board_images_big_diff5,7,4,14.0
41,random_board_images_big_diff5,8,5,35.0
42,random_board_images_big_diff5,9,3,16.0
43,random_board_images_big_diff5,10,4,25.0
44,random_board_images_big_diff5,11,5,10.0
45,random_board_images_big_diff5,12,6,35.0
46,random_board_images_big_diff5,13,3,35.0
47,random_board_images_big_diff5,14,2,3.0
48,rot_images_diff1,3,4,23.0
49,rot_images_diff1,4,3,35.0
50,rot_images_diff1,5,3,10.0
51,rot_images_diff1,6,1,4.0
52,rot_images_diff1,7,0,0.0
53,rot_images_diff1,8,1,1.0
54,rot_images_diff1,9,1,1.0
55,rot_images_diff1,10,5,11.0
56,rot_images_diff1,11,1,11.0
57,rot_images_diff1,12,1,1.0
58,rot_images_diff1,13,3,16.0
59,rot_images_diff1,14,2,35.0
60,rot_images_diff5,3,6,27.0
61,rot_images_diff5,4,3,35.0
62,rot_images_diff5,5,1,2.0
63,rot_images_diff5,6,2,35.0
64,rot_images_diff5,7,4,14.0
65,rot_images_diff5,8,6,35.0
66,rot_images_diff5,9,3,17.0
67,rot_images_diff5,10,0,0.0
68,rot_images_diff5,11,5,24.0
69,rot_images_diff5,12,4,35.0
70,rot_images_diff5,13,4,35.0
71,rot_images_diff5,14,4,35.0
72,sd,3,2,3.0
73,sd,4,3,5.0
74,sd,5,1,1.0
75,sd,6,1,1.0
76,sd,7,0,0.0
77,sd,8,0,0.0
78,sd,9,3,9.0
79,sd,10,0,0.0
80,sd,11,4,35.0
81,sd,12,1,1.0
82,sd,13,1,1.0
83,sd,14,1,1.0
84,sr,3,2,35.0
85,sr,4,2,10.0
86,sr,5,2,26.0
87,sr,6,3,35.0
88,sr,7,3,14.0
89,sr,8,4,35.0
90,sr,9,5,35.0
91,sr,10,5,35.0
92,sr,11,5,27.0
93,sr,12,4,35.0
94,sr,13,3,35.0
95,sr,14,4,35.0
96,svrt1,3,2,2.0
97,svrt1,4,5,35.0
98,svrt1,5,2,2.0
99,svrt1,6,3,5.0
100,svrt1,7,2,7.0
101,svrt1,8,1,2.0
102,svrt1,9,1,1.0
103,svrt1,10,3,3.0
104,svrt1,11,1,2.0
105,svrt1,12,0,0.0
106,svrt1,13,4,10.0
107,svrt1,14,3,5.0
108,svrt19,3,0,0.0
109,svrt19,4,1,7.0
110,svrt19,5,2,2.0
111,svrt19,6,1,2.0
112,svrt19,7,1,4.0
113,svrt19,8,3,8.0
114,svrt19,9,1,1.0
115,svrt19,10,0,0.0
116,svrt19,11,3,5.0
117,svrt19,12,2,3.0
118,svrt19,13,0,0.0
119,svrt19,14,1,1.0
120,svrt20,3,0,0.0
121,svrt20,4,0,0.0
122,svrt20,5,2,17.0
123,svrt20,6,0,0.0
124,svrt20,7,0,0.0
125,svrt20,8,1,7.0
126,svrt20,9,1,9.0
127,svrt20,10,4,24.0
128,svrt20,11,3,7.0
129,svrt20,12,3,7.0
130,svrt20,13,2,6.0
131,svrt20,14,5,7.0
132,svrt21,3,3,14.0
133,svrt21,4,1,35.0
134,svrt21,5,3,4.0
135,svrt21,6,1,3.0
136,svrt21,7,0,0.0
137,svrt21,8,1,13.0
138,svrt21,9,2,23.0
139,svrt21,10,3,6.0
140,svrt21,11,3,35.0
141,svrt21,12,1,6.0
142,svrt21,13,3,3.0
143,svrt21,14,1,3.0
